title	url	author
What Else Can Fool Deep Learning? Addressing Color Constancy Errors on Deep Neural Network Performance	http://openaccess.thecvf.com/content_ICCV_2019/papers/Afifi_What_Else_Can_Fool_Deep_Learning_Addressing_Color_Constancy_Errors_ICCV_2019_paper.pdf	Mahmoud Afifi
Beyond Cartesian Representations for Local Descriptors	http://openaccess.thecvf.com/content_ICCV_2019/papers/Ebel_Beyond_Cartesian_Representations_for_Local_Descriptors_ICCV_2019_paper.pdf	Patrick Ebel
Distilling Knowledge From a Deep Pose Regressor Network	http://openaccess.thecvf.com/content_ICCV_2019/papers/Saputra_Distilling_Knowledge_From_a_Deep_Pose_Regressor_Network_ICCV_2019_paper.pdf	Muhamad Risqi U. Saputra
Instance-Level Future Motion Estimation in a Single Image Based on Ordinal Regression	http://openaccess.thecvf.com/content_ICCV_2019/papers/Kim_Instance-Level_Future_Motion_Estimation_in_a_Single_Image_Based_on_ICCV_2019_paper.pdf	Kyung-Rae Kim
Vision-Infused Deep Audio Inpainting	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhou_Vision-Infused_Deep_Audio_Inpainting_ICCV_2019_paper.pdf	Hang Zhou
HAWQ: Hessian AWare Quantization of Neural Networks With Mixed-Precision	http://openaccess.thecvf.com/content_ICCV_2019/papers/Dong_HAWQ_Hessian_AWare_Quantization_of_Neural_Networks_With_Mixed-Precision_ICCV_2019_paper.pdf	Zhen Dong
Evaluating Robustness of Deep Image Super-Resolution Against Adversarial Attacks	http://openaccess.thecvf.com/content_ICCV_2019/papers/Choi_Evaluating_Robustness_of_Deep_Image_Super-Resolution_Against_Adversarial_Attacks_ICCV_2019_paper.pdf	Jun-Ho Choi
Overcoming Catastrophic Forgetting With Unlabeled Data in the Wild	http://openaccess.thecvf.com/content_ICCV_2019/papers/Lee_Overcoming_Catastrophic_Forgetting_With_Unlabeled_Data_in_the_Wild_ICCV_2019_paper.pdf	Kibok Lee
Symmetric Cross Entropy for Robust Learning With Noisy Labels	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Symmetric_Cross_Entropy_for_Robust_Learning_With_Noisy_Labels_ICCV_2019_paper.pdf	Yisen Wang
Few-Shot Learning With Embedded Class Models and Shot-Free Meta Training	http://openaccess.thecvf.com/content_ICCV_2019/papers/Ravichandran_Few-Shot_Learning_With_Embedded_Class_Models_and_Shot-Free_Meta_Training_ICCV_2019_paper.pdf	Avinash Ravichandran
Dual Directed Capsule Network for Very Low Resolution Image Recognition	http://openaccess.thecvf.com/content_ICCV_2019/papers/Singh_Dual_Directed_Capsule_Network_for_Very_Low_Resolution_Image_Recognition_ICCV_2019_paper.pdf	Maneet Singh
Recognizing Part Attributes With Insufficient Data	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhao_Recognizing_Part_Attributes_With_Insufficient_Data_ICCV_2019_paper.pdf	Xiangyun Zhao
USIP: Unsupervised Stable Interest Point Detection From 3D Point Clouds	http://openaccess.thecvf.com/content_ICCV_2019/papers/Li_USIP_Unsupervised_Stable_Interest_Point_Detection_From_3D_Point_Clouds_ICCV_2019_paper.pdf	Jiaxin Li
Mixed High-Order Attention Network for Person Re-Identification	http://openaccess.thecvf.com/content_ICCV_2019/papers/Chen_Mixed_High-Order_Attention_Network_for_Person_Re-Identification_ICCV_2019_paper.pdf	Binghui Chen
Budget-Aware Adapters for Multi-Domain Learning	http://openaccess.thecvf.com/content_ICCV_2019/papers/Berriel_Budget-Aware_Adapters_for_Multi-Domain_Learning_ICCV_2019_paper.pdf	Rodrigo Berriel
Compact Trilinear Interaction for Visual Question Answering	http://openaccess.thecvf.com/content_ICCV_2019/papers/Do_Compact_Trilinear_Interaction_for_Visual_Question_Answering_ICCV_2019_paper.pdf	Tuong Do
Towards Latent Attribute Discovery From Triplet Similarities	http://openaccess.thecvf.com/content_ICCV_2019/papers/Nigam_Towards_Latent_Attribute_Discovery_From_Triplet_Similarities_ICCV_2019_paper.pdf	Ishan Nigam
GeoStyle: Discovering Fashion Trends and Events	http://openaccess.thecvf.com/content_ICCV_2019/papers/Mall_GeoStyle_Discovering_Fashion_Trends_and_Events_ICCV_2019_paper.pdf	Utkarsh Mall
Towards Adversarially Robust Object Detection	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhang_Towards_Adversarially_Robust_Object_Detection_ICCV_2019_paper.pdf	Haichao Zhang
Automatic and Robust Skull Registration Based on Discrete Uniformization	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhao_Automatic_and_Robust_Skull_Registration_Based_on_Discrete_Uniformization_ICCV_2019_paper.pdf	Junli Zhao
Few-Shot Image Recognition With Knowledge Transfer	http://openaccess.thecvf.com/content_ICCV_2019/papers/Peng_Few-Shot_Image_Recognition_With_Knowledge_Transfer_ICCV_2019_paper.pdf	Zhimao Peng
Fine-Grained Action Retrieval Through Multiple Parts-of-Speech Embeddings	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wray_Fine-Grained_Action_Retrieval_Through_Multiple_Parts-of-Speech_Embeddings_ICCV_2019_paper.pdf	Michael Wray
Vehicle Re-Identification in Aerial Imagery: Dataset and Approach	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Vehicle_Re-Identification_in_Aerial_Imagery_Dataset_and_Approach_ICCV_2019_paper.pdf	Peng Wang
Bridging the Domain Gap for Ground-to-Aerial Image Matching	http://openaccess.thecvf.com/content_ICCV_2019/papers/Regmi_Bridging_the_Domain_Gap_for_Ground-to-Aerial_Image_Matching_ICCV_2019_paper.pdf	Krishna Regmi
A Robust Learning Approach to Domain Adaptive Object Detection	http://openaccess.thecvf.com/content_ICCV_2019/papers/Khodabandeh_A_Robust_Learning_Approach_to_Domain_Adaptive_Object_Detection_ICCV_2019_paper.pdf	Mehran Khodabandeh
Graph-Based Object Classification for Neuromorphic Vision Sensing	http://openaccess.thecvf.com/content_ICCV_2019/papers/Bi_Graph-Based_Object_Classification_for_Neuromorphic_Vision_Sensing_ICCV_2019_paper.pdf	Yin Bi
Gaussian YOLOv3: An Accurate and Fast Object Detector Using Localization Uncertainty for Autonomous Driving	http://openaccess.thecvf.com/content_ICCV_2019/papers/Choi_Gaussian_YOLOv3_An_Accurate_and_Fast_Object_Detector_Using_Localization_ICCV_2019_paper.pdf	Jiwoong Choi
Sharpen Focus: Learning With Attention Separability and Consistency	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Sharpen_Focus_Learning_With_Attention_Separability_and_Consistency_ICCV_2019_paper.pdf	Lezi Wang
Learning Semantic-Specific Graph Representation for Multi-Label Image Recognition	http://openaccess.thecvf.com/content_ICCV_2019/papers/Chen_Learning_Semantic-Specific_Graph_Representation_for_Multi-Label_Image_Recognition_ICCV_2019_paper.pdf	Tianshui Chen
DeceptionNet: Network-Driven Domain Randomization	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zakharov_DeceptionNet_Network-Driven_Domain_Randomization_ICCV_2019_paper.pdf	Sergey Zakharov
Pose-Guided Feature Alignment for Occluded Person Re-Identification	http://openaccess.thecvf.com/content_ICCV_2019/papers/Miao_Pose-Guided_Feature_Alignment_for_Occluded_Person_Re-Identification_ICCV_2019_paper.pdf	Jiaxu Miao
Robust Person Re-Identification by Modelling Feature Uncertainty	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yu_Robust_Person_Re-Identification_by_Modelling_Feature_Uncertainty_ICCV_2019_paper.pdf	Tianyuan Yu
Co-Segmentation Inspired Attention Networks for Video-Based Person Re-Identification	http://openaccess.thecvf.com/content_ICCV_2019/papers/Subramaniam_Co-Segmentation_Inspired_Attention_Networks_for_Video-Based_Person_Re-Identification_ICCV_2019_paper.pdf	Arulkumar Subramaniam
A Delay Metric for Video Object Detection: What Average Precision Fails to Tell	http://openaccess.thecvf.com/content_ICCV_2019/papers/Mao_A_Delay_Metric_for_Video_Object_Detection_What_Average_Precision_ICCV_2019_paper.pdf	Huizi Mao
IL2M: Class Incremental Learning With Dual Memory	http://openaccess.thecvf.com/content_ICCV_2019/papers/Belouadah_IL2M_Class_Incremental_Learning_With_Dual_Memory_ICCV_2019_paper.pdf	Eden Belouadah
Asymmetric Non-Local Neural Networks for Semantic Segmentation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhu_Asymmetric_Non-Local_Neural_Networks_for_Semantic_Segmentation_ICCV_2019_paper.pdf	Zhen Zhu
CCNet: Criss-Cross Attention for Semantic Segmentation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Huang_CCNet_Criss-Cross_Attention_for_Semantic_Segmentation_ICCV_2019_paper.pdf	Zilong Huang
Convex Shape Prior for Multi-Object Segmentation Using a Single Level Set Function	http://openaccess.thecvf.com/content_ICCV_2019/papers/Luo_Convex_Shape_Prior_for_Multi-Object_Segmentation_Using_a_Single_Level_ICCV_2019_paper.pdf	Shousheng Luo
Feature Weighting and Boosting for Few-Shot Segmentation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Nguyen_Feature_Weighting_and_Boosting_for_Few-Shot_Segmentation_ICCV_2019_paper.pdf	Khoi Nguyen
Surface Networks via General Covers	http://openaccess.thecvf.com/content_ICCV_2019/papers/Haim_Surface_Networks_via_General_Covers_ICCV_2019_paper.pdf	Niv Haim
SSAP: Single-Shot Instance Segmentation With Affinity Pyramid	http://openaccess.thecvf.com/content_ICCV_2019/papers/Gao_SSAP_Single-Shot_Instance_Segmentation_With_Affinity_Pyramid_ICCV_2019_paper.pdf	Naiyu Gao
Learning Propagation for Arbitrarily-Structured Data	http://openaccess.thecvf.com/content_ICCV_2019/papers/Liu_Learning_Propagation_for_Arbitrarily-Structured_Data_ICCV_2019_paper.pdf	Sifei Liu
MultiSeg: Semantically Meaningful, Scale-Diverse Segmentations From Minimal User Input	http://openaccess.thecvf.com/content_ICCV_2019/papers/Liew_MultiSeg_Semantically_Meaningful_Scale-Diverse_Segmentations_From_Minimal_User_Input_ICCV_2019_paper.pdf	Jun Hao Liew
Robust Motion Segmentation From Pairwise Matches	http://openaccess.thecvf.com/content_ICCV_2019/papers/Arrigoni_Robust_Motion_Segmentation_From_Pairwise_Matches_ICCV_2019_paper.pdf	Federica Arrigoni
InstaBoost: Boosting Instance Segmentation via Probability Map Guided Copy-Pasting	http://openaccess.thecvf.com/content_ICCV_2019/papers/Fang_InstaBoost_Boosting_Instance_Segmentation_via_Probability_Map_Guided_Copy-Pasting_ICCV_2019_paper.pdf	Hao-Shu Fang
Racial Faces in the Wild: Reducing Racial Bias by Information Maximization Adaptation Network	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Racial_Faces_in_the_Wild_Reducing_Racial_Bias_by_Information_ICCV_2019_paper.pdf	Mei Wang
Uncertainty Modeling of Contextual-Connections Between Tracklets for Unconstrained Video-Based Face Recognition	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zheng_Uncertainty_Modeling_of_Contextual-Connections_Between_Tracklets_for_Unconstrained_Video-Based_Face_ICCV_2019_paper.pdf	Jingxiao Zheng
Spatio-Temporal Fusion Based Convolutional Sequence Learning for Lip Reading	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhang_Spatio-Temporal_Fusion_Based_Convolutional_Sequence_Learning_for_Lip_Reading_ICCV_2019_paper.pdf	Xingxuan Zhang
Occlusion-Aware Networks for 3D Human Pose Estimation in Video	http://openaccess.thecvf.com/content_ICCV_2019/papers/Cheng_Occlusion-Aware_Networks_for_3D_Human_Pose_Estimation_in_Video_ICCV_2019_paper.pdf	Yu Cheng
Context-Aware Feature and Label Fusion for Facial Action Unit Intensity Estimation With Partially Labeled Data	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhang_Context-Aware_Feature_and_Label_Fusion_for_Facial_Action_Unit_Intensity_ICCV_2019_paper.pdf	Yong Zhang
Distill Knowledge From NRSfM for Weakly Supervised 3D Pose Learning	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Distill_Knowledge_From_NRSfM_for_Weakly_Supervised_3D_Pose_Learning_ICCV_2019_paper.pdf	Chaoyang Wang
MONET: Multiview Semi-Supervised Keypoint Detection via Epipolar Divergence	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yao_MONET_Multiview_Semi-Supervised_Keypoint_Detection_via_Epipolar_Divergence_ICCV_2019_paper.pdf	Yuan Yao
Talking With Hands 16.2M: A Large-Scale Dataset of Synchronized Body-Finger Motion and Audio for Conversational Motion Analysis and Synthesis	http://openaccess.thecvf.com/content_ICCV_2019/papers/Lee_Talking_With_Hands_16.2M_A_Large-Scale_Dataset_of_Synchronized_Body-Finger_ICCV_2019_paper.pdf	Gilwoo Lee
Occlusion Robust Face Recognition Based on Mask Learning With Pairwise Differential Siamese Network	http://openaccess.thecvf.com/content_ICCV_2019/papers/Song_Occlusion_Robust_Face_Recognition_Based_on_Mask_Learning_With_Pairwise_ICCV_2019_paper.pdf	Lingxue Song
Teacher Supervises Students How to Learn From Partially Labeled Images for Facial Landmark Detection	http://openaccess.thecvf.com/content_ICCV_2019/papers/Dong_Teacher_Supervises_Students_How_to_Learn_From_Partially_Labeled_Images_ICCV_2019_paper.pdf	Xuanyi Dong
A2J: Anchor-to-Joint Regression Network for 3D Articulated Pose Estimation From a Single Depth Image	http://openaccess.thecvf.com/content_ICCV_2019/papers/Xiong_A2J_Anchor-to-Joint_Regression_Network_for_3D_Articulated_Pose_Estimation_From_ICCV_2019_paper.pdf	Fu Xiong
TexturePose: Supervising Human Mesh Estimation With Texture Consistency	http://openaccess.thecvf.com/content_ICCV_2019/papers/Pavlakos_TexturePose_Supervising_Human_Mesh_Estimation_With_Texture_Consistency_ICCV_2019_paper.pdf	Georgios Pavlakos
FreiHAND: A Dataset for Markerless Capture of Hand Pose and Shape From Single RGB Images	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zimmermann_FreiHAND_A_Dataset_for_Markerless_Capture_of_Hand_Pose_and_ICCV_2019_paper.pdf	Christian Zimmermann
Markerless Outdoor Human Motion Capture Using Multiple Autonomous Micro Aerial Vehicles	http://openaccess.thecvf.com/content_ICCV_2019/papers/Saini_Markerless_Outdoor_Human_Motion_Capture_Using_Multiple_Autonomous_Micro_Aerial_ICCV_2019_paper.pdf	Nitin Saini
Toyota Smarthome: Real-World Activities of Daily Living	http://openaccess.thecvf.com/content_ICCV_2019/papers/Das_Toyota_Smarthome_Real-World_Activities_of_Daily_Living_ICCV_2019_paper.pdf	Srijan Das
Relation Parsing Neural Network for Human-Object Interaction Detection	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhou_Relation_Parsing_Neural_Network_for_Human-Object_Interaction_Detection_ICCV_2019_paper.pdf	Penghao Zhou
DistInit: Learning Video Representations Without a Single Labeled Video	http://openaccess.thecvf.com/content_ICCV_2019/papers/Girdhar_DistInit_Learning_Video_Representations_Without_a_Single_Labeled_Video_ICCV_2019_paper.pdf	Rohit Girdhar
Zero-Shot Anticipation for Instructional Activities	http://openaccess.thecvf.com/content_ICCV_2019/papers/Sener_Zero-Shot_Anticipation_for_Instructional_Activities_ICCV_2019_paper.pdf	Fadime Sener
Making the Invisible Visible: Action Recognition Through Walls and Occlusions	http://openaccess.thecvf.com/content_ICCV_2019/papers/Li_Making_the_Invisible_Visible_Action_Recognition_Through_Walls_and_Occlusions_ICCV_2019_paper.pdf	Tianhong Li
Recursive Visual Sound Separation Using Minus-Plus Net	http://openaccess.thecvf.com/content_ICCV_2019/papers/Xu_Recursive_Visual_Sound_Separation_Using_Minus-Plus_Net_ICCV_2019_paper.pdf	Xudong Xu
Unsupervised Video Interpolation Using Cycle Consistency	http://openaccess.thecvf.com/content_ICCV_2019/papers/Reda_Unsupervised_Video_Interpolation_Using_Cycle_Consistency_ICCV_2019_paper.pdf	Fitsum A. Reda
Deformable Surface Tracking by Graph Matching	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wang_Deformable_Surface_Tracking_by_Graph_Matching_ICCV_2019_paper.pdf	Tao Wang
Deep Meta Learning for Real-Time Target-Aware Visual Tracking	http://openaccess.thecvf.com/content_ICCV_2019/papers/Choi_Deep_Meta_Learning_for_Real-Time_Target-Aware_Visual_Tracking_ICCV_2019_paper.pdf	Janghoon Choi
Looking to Relations for Future Trajectory Forecast	http://openaccess.thecvf.com/content_ICCV_2019/papers/Choi_Looking_to_Relations_for_Future_Trajectory_Forecast_ICCV_2019_paper.pdf	Chiho Choi
Anchor Diffusion for Unsupervised Video Object Segmentation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yang_Anchor_Diffusion_for_Unsupervised_Video_Object_Segmentation_ICCV_2019_paper.pdf	Zhao Yang
Tracking Without Bells and Whistles	http://openaccess.thecvf.com/content_ICCV_2019/papers/Bergmann_Tracking_Without_Bells_and_Whistles_ICCV_2019_paper.pdf	Philipp Bergmann
Perspective-Guided Convolution Networks for Crowd Counting	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yan_Perspective-Guided_Convolution_Networks_for_Crowd_Counting_ICCV_2019_paper.pdf	Zhaoyi Yan
End-to-End Wireframe Parsing	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhou_End-to-End_Wireframe_Parsing_ICCV_2019_paper.pdf	Yichao Zhou
Incremental Class Discovery for Semantic Segmentation With RGBD Sensing	http://openaccess.thecvf.com/content_ICCV_2019/papers/Nakajima_Incremental_Class_Discovery_for_Semantic_Segmentation_With_RGBD_Sensing_ICCV_2019_paper.pdf	Yoshikatsu Nakajima
SSF-DAN: Separated Semantic Feature Based Domain Adaptation Network for Semantic Segmentation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Du_SSF-DAN_Separated_Semantic_Feature_Based_Domain_Adaptation_Network_for_Semantic_ICCV_2019_paper.pdf	Liang Du
SpaceNet MVOI: A Multi-View Overhead Imagery Dataset	http://openaccess.thecvf.com/content_ICCV_2019/papers/Weir_SpaceNet_MVOI_A_Multi-View_Overhead_Imagery_Dataset_ICCV_2019_paper.pdf	Nicholas Weir
Multi-Level Bottom-Top and Top-Bottom Feature Fusion for Crowd Counting	http://openaccess.thecvf.com/content_ICCV_2019/papers/Sindagi_Multi-Level_Bottom-Top_and_Top-Bottom_Feature_Fusion_for_Crowd_Counting_ICCV_2019_paper.pdf	Vishwanath A. Sindagi
Learning Lightweight Lane Detection CNNs by Self Attention Distillation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Hou_Learning_Lightweight_Lane_Detection_CNNs_by_Self_Attention_Distillation_ICCV_2019_paper.pdf	Yuenan Hou
SplitNet: Sim2Sim and Task2Task Transfer for Embodied Visual Navigation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Gordon_SplitNet_Sim2Sim_and_Task2Task_Transfer_for_Embodied_Visual_Navigation_ICCV_2019_paper.pdf	Daniel Gordon
Cascaded Parallel Filtering for Memory-Efficient Image-Based Localization	http://openaccess.thecvf.com/content_ICCV_2019/papers/Cheng_Cascaded_Parallel_Filtering_for_Memory-Efficient_Image-Based_Localization_ICCV_2019_paper.pdf	Wentao Cheng
Pixel2Mesh++: Multi-View 3D Mesh Generation via Deformation	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wen_Pixel2Mesh_Multi-View_3D_Mesh_Generation_via_Deformation_ICCV_2019_paper.pdf	Chao Wen
A Differential Volumetric Approach to Multi-View Photometric Stereo	http://openaccess.thecvf.com/content_ICCV_2019/papers/Logothetis_A_Differential_Volumetric_Approach_to_Multi-View_Photometric_Stereo_ICCV_2019_paper.pdf	Fotios Logothetis
Revisiting Radial Distortion Absolute Pose	http://openaccess.thecvf.com/content_ICCV_2019/papers/Larsson_Revisiting_Radial_Distortion_Absolute_Pose_ICCV_2019_paper.pdf	Viktor Larsson
Estimating the Fundamental Matrix Without Point Correspondences With Application to Transmission Imaging	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wurfl_Estimating_the_Fundamental_Matrix_Without_Point_Correspondences_With_Application_to_ICCV_2019_paper.pdf	Tobias Wurfl
QUARCH: A New Quasi-Affine Reconstruction Stratum From Vague Relative Camera Orientation Knowledge	http://openaccess.thecvf.com/content_ICCV_2019/papers/Adlakha_QUARCH_A_New_Quasi-Affine_Reconstruction_Stratum_From_Vague_Relative_Camera_ICCV_2019_paper.pdf	Devesh Adlakha
Homography From Two Orientation- and Scale-Covariant Features	http://openaccess.thecvf.com/content_ICCV_2019/papers/Barath_Homography_From_Two_Orientation-_and_Scale-Covariant_Features_ICCV_2019_paper.pdf	Daniel Barath
Hiding Video in Audio via Reversible Generative Models	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yang_Hiding_Video_in_Audio_via_Reversible_Generative_Models_ICCV_2019_paper.pdf	Hyukryul Yang
GSLAM: A General SLAM Framework and Benchmark	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhao_GSLAM_A_General_SLAM_Framework_and_Benchmark_ICCV_2019_paper.pdf	Yong Zhao
Elaborate Monocular Point and Line SLAM With Robust Initialization	http://openaccess.thecvf.com/content_ICCV_2019/papers/Lee_Elaborate_Monocular_Point_and_Line_SLAM_With_Robust_Initialization_ICCV_2019_paper.pdf	Sang Jun Lee
Adaptive Density Map Generation for Crowd Counting	http://openaccess.thecvf.com/content_ICCV_2019/papers/Wan_Adaptive_Density_Map_Generation_for_Crowd_Counting_ICCV_2019_paper.pdf	Jia Wan
Attention-Aware Polarity Sensitive Embedding for Affective Image Retrieval	http://openaccess.thecvf.com/content_ICCV_2019/papers/Yao_Attention-Aware_Polarity_Sensitive_Embedding_for_Affective_Image_Retrieval_ICCV_2019_paper.pdf	Xingxu Yao
Zero-Shot Emotion Recognition via Affective Structural Embedding	http://openaccess.thecvf.com/content_ICCV_2019/papers/Zhan_Zero-Shot_Emotion_Recognition_via_Affective_Structural_Embedding_ICCV_2019_paper.pdf	Chi Zhan
